service,base_url,method,path,purpose,parameters,example
Gamma API,https://gamma-api.polymarket.com,GET,/status,Gamma API health check (returns OK if service is up),None.,curl https://gamma-api.polymarket.com/status
Gamma API,https://gamma-api.polymarket.com,GET,/markets,"List markets with rich metadata and filters (status, tags, liquidity, etc.)","Query: pagination (limit, offset), boolean flags (active, closed, archived, new), filters for categories, tags, events/series, liquidity/volume ranges, and sorting options (see docs for full list).","curl ""https://gamma-api.polymarket.com/markets?limit=50&active=true&closed=false"""
Gamma API,https://gamma-api.polymarket.com,GET,/markets/{id},Get full market details by ID,Path: id (market identifier).,curl https://gamma-api.polymarket.com/markets/12345
Gamma API,https://gamma-api.polymarket.com,GET,/markets/slug/{slug},Get full market details by slug,Path: slug (human-readable market slug).,curl https://gamma-api.polymarket.com/markets/slug/us-election-2024
Gamma API,https://gamma-api.polymarket.com,GET,/markets/{id}/tags,Get tags associated with a specific market,"Path: id (market identifier). Optional query pagination (limit, offset).",curl https://gamma-api.polymarket.com/markets/12345/tags
Gamma API,https://gamma-api.polymarket.com,GET,/events,List events (containers for markets) with filters,"Query: pagination (limit, offset), flags for active/closed/archived/new, category and tag filters, date-range and sort options (see docs).","curl ""https://gamma-api.polymarket.com/events?limit=20&active=true"""
Gamma API,https://gamma-api.polymarket.com,GET,/events/{id},Get event details by ID,Path: id (event identifier).,curl https://gamma-api.polymarket.com/events/1234
Gamma API,https://gamma-api.polymarket.com,GET,/events/slug/{slug},Get event details by slug,Path: slug (event slug).,curl https://gamma-api.polymarket.com/events/slug/us-election-2024
Gamma API,https://gamma-api.polymarket.com,GET,/events/{id}/tags,Get tags associated with a specific event,"Path: id (event identifier). Optional query pagination (limit, offset).",curl https://gamma-api.polymarket.com/events/1234/tags
Gamma API,https://gamma-api.polymarket.com,GET,/series,List series (groups of related or recurring events),"Query: pagination (limit, offset), filters for active/closed/archived/new, series type/recurrence, associated categories/tags, and sorting options.","curl ""https://gamma-api.polymarket.com/series?limit=20&active=true"""
Gamma API,https://gamma-api.polymarket.com,GET,/series/{id},Get series details by ID,Path: id (series identifier).,curl https://gamma-api.polymarket.com/series/5678
Gamma API,https://gamma-api.polymarket.com,GET,/tags,List tags used for events/markets/series,"Query: pagination (limit, offset), optional filters for label/slug and visibility flags.","curl ""https://gamma-api.polymarket.com/tags?limit=100"""
Gamma API,https://gamma-api.polymarket.com,GET,/tags/{id},Get details for a single tag by ID,Path: id (tag identifier).,curl https://gamma-api.polymarket.com/tags/42
Gamma API,https://gamma-api.polymarket.com,GET,/tags/{id}/related-tags,Get related tags (tag relationships/graph) for a tag ID,Path: id (tag identifier). Optional query pagination.,curl https://gamma-api.polymarket.com/tags/42/related-tags
Gamma API,https://gamma-api.polymarket.com,GET,/comments,"List comments, optionally filtered by parent entity","Query: pagination (limit, offset), filters for the parent entity (such as event, market, or series) and sort options (see docs).",curl https://gamma-api.polymarket.com/comments
Gamma API,https://gamma-api.polymarket.com,GET,/comments/{id},Get a single comment by comment ID,Path: id (comment identifier).,curl https://gamma-api.polymarket.com/comments/abc123
Gamma API,https://gamma-api.polymarket.com,GET,/comments/user_address/{user_address},List comments authored by a given wallet address,"Path: user_address (author wallet). Query: pagination (limit, offset).",curl https://gamma-api.polymarket.com/comments/user_address/0xYourWallet
Gamma API,https://gamma-api.polymarket.com,GET,/public-profile,Get public profile data for a wallet address,"Query: wallet address (either directly or via proxy parameter, see docs).","curl ""https://gamma-api.polymarket.com/public-profile?address=0xYourWallet"""
Gamma API,https://gamma-api.polymarket.com,GET,/public-search,"Full-text search across markets, events, tags, and profiles","Query: search term, entity types to include, filters for status/tags/categories, and pagination (limit, offset).","curl ""https://gamma-api.polymarket.com/public-search?q=president&limit=20"""
Gamma API,https://gamma-api.polymarket.com,GET,/sports,"Get per-sport metadata (branding, default tags/series, etc.)",Query: optional filters for sport identifiers and pagination.,curl https://gamma-api.polymarket.com/sports
Gamma API,https://gamma-api.polymarket.com,GET,/sports/market-types,"List valid sports market types (spreads, totals, etc.)",None beyond optional pagination or filtering (see docs).,curl https://gamma-api.polymarket.com/sports/market-types
Gamma API,https://gamma-api.polymarket.com,GET,/teams,"List sports teams metadata (league, name, logo, etc.)","Query: optional filters for league/sport and pagination (limit, offset).","curl ""https://gamma-api.polymarket.com/teams?limit=100"""
Data API,https://data-api.polymarket.com,GET,/positions,Get current open positions for a user (per outcome token),Query: user wallet identifier plus optional pagination and filtering by markets/events (see docs).,"curl ""https://data-api.polymarket.com/positions?address=0xYourWallet"""
